NM_MUNICIPIO,DS_CARGO,DT_ELEICAO,NM_URNA_CANDIDATO,NM_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
MACAPÁ,Prefeito,06/10/2024,SHARON BRAGA,Partido Novo,NOVO,66
MACAPÁ,Prefeito,06/10/2024,GILVAM BORGES,AVANTE,AVANTE,199
LARANJAL DO JARI,Vereador,06/10/2024,JOVEM DA SAÚDE,Movimento Democrático Brasileiro,MDB,15
LARANJAL DO JARI,Vereador,06/10/2024,MARRY DO MENINO JESUS,Movimento Democrático Brasileiro,MDB,244
LARANJAL DO JARI,Vereador,06/10/2024,DARLAN VIGILANTE,Movimento Democrático Brasileiro,MDB,34
LARANJAL DO JARI,Vereador,06/10/2024,ALINNE MADEIREIRO,Movimento Democrático Brasileiro,MDB,486
LARANJAL DO JARI,Vereador,06/10/2024,TIAGO TRATOR,Movimento Democrático Brasileiro,MDB,257
LARANJAL DO JARI,Vereador,06/10/2024,GÊ SANTOS,Movimento Democrático Brasileiro,MDB,245
LARANJAL DO JARI,Vereador,06/10/2024,DENIS PELHECA,Partido Liberal,PL,626
LARANJAL DO JARI,Vereador,06/10/2024,WALCIMAR FONSECA,Partido Liberal,PL,754
LARANJAL DO JARI,Vereador,06/10/2024,DR VITOR NOGUEIRA,Partido Liberal,PL,103
LARANJAL DO JARI,Vereador,06/10/2024,GI TRINDADE,Partido Liberal,PL,48
LARANJAL DO JARI,Vereador,06/10/2024,ROSANGELA VIDEIRA,Partido Liberal,PL,0
LARANJAL DO JARI,Vereador,06/10/2024,PROF AFRANIO,Partido Liberal,PL,42
LARANJAL DO JARI,Vereador,06/10/2024,IRMÃ GLEICE,Partido Liberal,PL,241
LARANJAL DO JARI,Vereador,06/10/2024,WALDECY TAVARES,Partido Liberal,PL,47
LARANJAL DO JARI,Vereador,06/10/2024,AMÉRICO SANTOS,Partido Liberal,PL,495
LARANJAL DO JARI,Vereador,06/10/2024,JAKSON MORAES,Partido Liberal,PL,532
LARANJAL DO JARI,Vereador,06/10/2024,EUNICE MINEIRO,Partido Liberal,PL,131
LARANJAL DO JARI,Vereador,06/10/2024,LUIZITO ROMARINHO,Partido Liberal,PL,7
LARANJAL DO JARI,Vereador,06/10/2024,ELISVALDA,Partido Liberal,PL,179
LARANJAL DO JARI,Vereador,06/10/2024,MÁRCIO MORAES,Partido Liberal,PL,16
LARANJAL DO JARI,Vereador,06/10/2024,MARLON MOURA,União Brasil,UNIÃO,825
LARANJAL DO JARI,Vereador,06/10/2024,TURUTA BIRIMBAL,União Brasil,UNIÃO,673
LARANJAL DO JARI,Vereador,06/10/2024,VERA DA FARMACIA,União Brasil,UNIÃO,464
